CISTABLENAME,CISCOLUMNNAME,CISSERVICE,CSISERVICE,CSISRVELMCLASS,CSISRVELMPROPNAME,CSISRVELMATTRNAME,DESCRIPTION,STATUS
MTN_MESHING,BillingOption,ATMPVC,ATM_PURPLE,Transport,,Billing Option,View Request V4,0
,CityCode,ATMPVC,ATM_PURPLE,SiteInformation,CityCode,,View Request V4,0
,CityName,ATMPVC,ATM_PURPLE,SiteInformation,CityName,,View Request V4,0
,ContactName,ATMPVC,ATM_PURPLE,SiteContact,ContactName,,View Request V4,0
,CountryCode,ATMPVC,ATM_PURPLE,SiteInformation,CountryCode,,View Request V4,0
MTN_MESHING,CreationDate,ATMPVC,ATM_PURPLE,VERSION,,,"if ordersentdate is null, use this date",0
,CustCode,ATMPVC,ATM_PURPLE,VERSION,CustHandle,,View Request V4,0
,EmailAddress,ATMPVC,ATM_PURPLE,SiteContact,EmailAddress,,View Request V4,0
,FaxNumber,ATMPVC,ATM_PURPLE,SiteContact,FaxNumber,,View Request V4,0
MTN_MESHING,LastModifDate,ATMPVC,ATM_PURPLE,VERSION,OrdersentDate,,View Request V4,0
MTN_MESHING,LocalAccessConnectionUSID,ATMPVC,ATM_PURPLE,Transport,,Local Access Connection USID,View Request V4,0
MTN_MESHING,LocalMBS,ATMPVC,ATM_PURPLE,Transport,,MBS,View Request V4,0
MTN_MESHING,LocalPCR,ATMPVC,ATM_PURPLE,Transport,,PCR,View Request V4,0
MTN_MESHING,LocalSCR,ATMPVC,ATM_PURPLE,Transport,,SCR,View Request V4,0
MTN_MESHING,LocalVCI,ATMPVC,ATM_PURPLE,Transport,,,View Request V4,0
MTN_MESHING,LocalVPI,ATMPVC,ATM_PURPLE,Transport,,,View Request V4,0
,PostalCode,ATMPVC,ATM_PURPLE,SiteInformation,PostalCode,,View Request V4,0
MTN_MESHING,PureLayer2Flag,ATMPVC,ATM_PURPLE,,,,View Request V9,0
MTN_MESHING,PVCUSID,ATMPVC,ATM_PURPLE,Transport,ID,,View Request V4,0
MTN_MESHING,RemoteAccessConnectionUSID,ATMPVC,ATM_PURPLE,Transport,,Remote Access Connection USID,View Request V4,0
MTN_MESHING,RemoteMBS,ATMPVC,ATM_PURPLE,Transport,,Remote-To-Local MBS,View Request V4,0
MTN_MESHING,RemotePCR,ATMPVC,ATM_PURPLE,Transport,,Remote-To-Local PCR,View Request V4,0
MTN_MESHING,RemoteSCR,ATMPVC,ATM_PURPLE,Transport,,Remote-To-Local SCR,View Request V4,0
MTN_MESHING,RemoteVCI,ATMPVC,ATM_PURPLE,Transport,,,View Request V4,0
MTN_MESHING,RemoteVPI,ATMPVC,ATM_PURPLE,Transport,,,View Request V4,0
,ServiceOrigin,ATMPVC,ATM_PURPLE,,,,View Request V4,0
MTN_MESHING,ServiceStatus,ATMPVC,ATM_PURPLE,,,,View Request V4,0
MTN_MESHING,ServiceSubStatus,ATMPVC,ATM_PURPLE,,,,View Request V4,0
,SiteLastModifDate,ATMPVC,ATM_PURPLE,SiteInformation,LastModifDate,,View Request V4,0
,StateCode,ATMPVC,ATM_PURPLE,SiteInformation,Statecode,,View Request V4,0
,TelephoneNumber,ATMPVC,ATM_PURPLE,SiteContact,TelephoneNumber,,View Request V4,0
MTN_MESHING,TransportType,ATMPVC,ATM_PURPLE,Transport,,Transport Type,View Request V4,0
MTN_MESHING,S_Type,ATMPVC,ATM_PURPLE,VERSION,ServiceID,,View Request V4,0
,Address1,FRPVC,FRAME_RELAY_PURPLE,SiteInformation,Address1,,View Request V4,0
,Address2,FRPVC,FRAME_RELAY_PURPLE,SiteInformation,Address2,,View Request V4,0
,Address3,FRPVC,FRAME_RELAY_PURPLE,SiteInformation,Address3,,View Request V4,0
MTN_MESHING,AlreadyInPlace,FRPVC,FRAME_RELAY_PURPLE,Transport,,In Place,View Request V4,0
MTN_MESHING,BillingOption,FRPVC,FRAME_RELAY_PURPLE,Transport,,Billing Option,View Request V4,0
MTN_MESHING,CIR,FRPVC,FRAME_RELAY_PURPLE,Transport,,CIR,View Request V4,0
,CityCode,FRPVC,FRAME_RELAY_PURPLE,SiteInformation,CityCode,,View Request V4,0
,CityName,FRPVC,FRAME_RELAY_PURPLE,SiteInformation,CityName,,View Request V4,0
,ContactName,FRPVC,FRAME_RELAY_PURPLE,SiteContact,ContactName,,View Request V4,0
,CountryCode,FRPVC,FRAME_RELAY_PURPLE,SiteInformation,CountryCode,,View Request V4,0
