CISTABLENAME,CISCOLUMNNAME,CISSERVICE,CSISERVICE,CSISRVELMCLASS,CSISRVELMPROPNAME,CSISRVELMATTRNAME,DESCRIPTION,STATUS
IP_ACCESS,EmailAddress,LANAS|Managed CPE|IP VPN|Internet Direct|IntranetConnect,LAN_ACCESS|MANAGED_ROUTER_CPE_LANAS|IP_VPN|INTRANET_CONNECT|INTERNET_DIRECT_PURPLE,SiteContact,EmailAddress,,ACQUERY,0
IP_ACCESS,CustomerLastModifDate,LANAS|Managed CPE|IP VPN|Internet Direct|IntranetConnect,LAN_ACCESS|MANAGED_ROUTER_CPE_LANAS|IP_VPN|INTRANET_CONNECT|INTERNET_DIRECT_PURPLE,SiteInformation,LastModifDate,,ACQUERY,0
IP_ACCESS,USID,LANAS|Managed CPE|IP VPN|Internet Direct|IntranetConnect,LAN_ACCESS|MANAGED_ROUTER_CPE_LANAS|IP_VPN|INTRANET_CONNECT|INTERNET_DIRECT_PURPLE,AccessConnection,ID,,ACQUERY,0
IP_ACCESS,CircuitAlreadyInPlace,LANAS|Managed CPE|IP VPN|Internet Direct|IntranetConnect,LAN_ACCESS|MANAGED_ROUTER_CPE_LANAS|IP_VPN|INTRANET_CONNECT|INTERNET_DIRECT_PURPLE,AccessConnection,,In Place,ACQUERY,0
IP_ACCESS,ConnectionType,LANAS|Managed CPE|IP VPN|Internet Direct|IntranetConnect,LAN_ACCESS|MANAGED_ROUTER_CPE_LANAS|IP_VPN|INTRANET_CONNECT|INTERNET_DIRECT_PURPLE,AccessConnection,,,ACQUERY,0
IP_ACCESS,ConnectionSubType,LANAS|Managed CPE|IP VPN|Internet Direct|IntranetConnect,LAN_ACCESS|MANAGED_ROUTER_CPE_LANAS|IP_VPN|INTRANET_CONNECT|INTERNET_DIRECT_PURPLE,AccessConnection,,,ACQUERY,0
IP_ACCESS,CustomerDefinedCode,LANAS|Managed CPE|IP VPN|Internet Direct|IntranetConnect,LAN_ACCESS|MANAGED_ROUTER_CPE_LANAS|IP_VPN|INTRANET_CONNECT|INTERNET_DIRECT_PURPLE,AccessConnection,,Local Customer Defined Code,ACQUERY,0
IP_ACCESS,SellingEntityCrossReference,LANAS|Managed CPE|IP VPN|Internet Direct|IntranetConnect,LAN_ACCESS|MANAGED_ROUTER_CPE_LANAS|IP_VPN|INTRANET_CONNECT|INTERNET_DIRECT_PURPLE,AccessConnection,,Selling Entity Cross Reference,ACQUERY,0
,TerminationInterface,LANAS|Managed CPE|IP VPN|Internet Direct|IntranetConnect,LAN_ACCESS|MANAGED_ROUTER_CPE_LANAS|IP_VPN|INTRANET_CONNECT|INTERNET_DIRECT_PURPLE,AccessConnection,,Termination Interface,,0
IP_ACCESS,AccessConnectionRouterName,LANAS|Managed CPE|IP VPN|Internet Direct|IntranetConnect,LAN_ACCESS|MANAGED_ROUTER_CPE_LANAS|IP_VPN|INTRANET_CONNECT|INTERNET_DIRECT_PURPLE,AccessConnection,,Router Name,ACQUERY,0
IP_ACCESS,Interface_Name,LANAS|Managed CPE|IP VPN|Internet Direct|IntranetConnect,LAN_ACCESS|MANAGED_ROUTER_CPE_LANAS|IP_VPN|INTRANET_CONNECT|INTERNET_DIRECT_PURPLE,AccessConnection,,WAN Interface ,ACQUERY,0
IP_ACCESS,IsLANWAN,LANAS|Managed CPE|IP VPN|Internet Direct|IntranetConnect,LAN_ACCESS|MANAGED_ROUTER_CPE_LANAS|IP_VPN|INTRANET_CONNECT|INTERNET_DIRECT_PURPLE,AccessConnection,,LAN Interface,ACQUERY,0
